guid/_isPermaLink,guid/__text,link,author/name/__text,category/0,category/1,category/2,category/3,category/4,title,description,pubDate,updated/__text,location/_xmlns,location/__text,category/5
false,349037,https://stackoverflow.com/jobs/349037/software-developer-machine-learning-harmonia-holdings-group-llc?a=1T3tYltH112U&so_medium=Talent&so_source=TalentApi,"Harmonia Holdings Group, LLC",java,python,json,javascript,r,"Software Developer - Machine Learning/ Optimization at Harmonia Holdings Group, LLC (Charlottesville, VA)","<p>Harmonia is seeking a self-motivated <strong>Software Engineer - Machine Learning/ Optimization</strong> to join our team in one of our Virginia offices (Blacksburg, Charlottesville, McLean) <em>or</em> in San Diego.&nbsp; The ideal candidate will have&nbsp;a strong background in optimization solutions and machine learning, be willing to travel to client sites across the country, and be an excellent presenter and public speaker.&nbsp;</p><br /><p><strong>Essential Job Functions:&nbsp;</strong></p><br /><ul><br /><li>Participate in research, design, and software implementation of solutions for optimization and machine learning problems.&nbsp;</li><br /><li>Identify knowledge of state of the art optimization and machine learning algorithms, open source implementations, commercial technologies, and cloud machine learning products that are well suited for customer problems.</li><br /><li>Develop software implementations of new optimization/machine learning algorithms from research papers explaining the mathematics and/or algorithms of a new approach.</li><br /><li>Participate in software product design and planning.</li><br /><li>Maintain high levels of knowledge, skill, and competencies in software development for an extensive range of project types.</li><br /><li>Translate design requirements and specifications into successful implementations.</li><br /><li>Work in a team environment and share knowledge.</li><br /><li>Proactively enforce standards and best practices.</li><br /></ul><br /><p><strong>Minimum Required Qualifications:&nbsp;</strong></p><br /><ul><br /><li>Mid Level: 3+ years; Senior Level: 5+ years of prior professional experience implementing optimization and/or machine learning algorithms as a software engineer/developer using Java.</li><br /><li>Experience implementing Artificial Intelligence/Machine Learning techniques and algorithms such as Optimization Algorithms, Case-based Reasoning, Assignment/Allocation Algorithms, Genetic Algorithms, Operations Research</li><br /><li>Experience using a major machine learning or optimization package</li><br /><li>Experience in one or more of: Java, Python, R</li><br /><li>Experience in the following a plus: Microservices, Web Services, OpenShift, Docker.Working knowledge of software development processes.&nbsp;</li><br /><li>Experience working in an Agile software development environment.</li><br /><li>Work well in a team environment with minimal supervision.4-year college degree in Applied Mathematics, Statistics, Computer Science, Operations Research, or related field. Masters or Ph.D. preferred.</li><br /><li>College courses in machine learning, statistics, and linear algebra required; optimization desirable</li><br /><li>Experience working on research projects is preferred.</li><br /><li>Prior DoD or Navy project experience a plus.</li><br /><li>Active DoD Secret level clearance a plus.</li><br /><li>US Citizenship required</li><br /></ul><br /><ul><br /><li>Experience implementing a solution using optimization or machine learning methods for a complex, real world problem.</li><br /><li>Experience in translating new optimization/machine learning algorithms from research papers into working software.</li><br /><li>Strong programming skills with a good understanding of project cycles, software development environments, and source control techniques.</li><br /><li>Ability to identify, prioritize and execute tasks to meet critical project deadlines. Experience bringing a software product from development to market.</li><br /><li>Ability to mentor junior engineers.&nbsp;</li><br /></ul><br /><p><strong>Knowledge, Skills and Abilities:&nbsp;</strong></p><br /><ul><br /><li>Strong customer service/client facing skills</li><br /><li>Excellent public speaking and oral presentation capabilities</li><br /><li>Excellent written communication</li><br /><li>Microsoft Office products</li><br /></ul><br /><p><strong>Harmonia Holdings Group, LLC has been on the Inc. 5000 list of fastest growing companies in the United States for the past 10 years and was selected in 2019 as a Virginia Chamber of Commerce Fantastic 50 company. We are a 2019 Northern Virginia Technology Council Tech 100 company and are a Great Place to Work Certified organization! Every bit of our success is the result of a team of incredibly talented, dedicated, and hard-working professionals who are the heart and soul of Harmonia! </strong>&nbsp;</p><br /><p>To perform this job successfully, an individual should possess the knowledge, skills, and abilities listed; meet the amount of education, training and/or work experience required for this role; and must be able to perform each essential duty and responsibility satisfactorily. Other duties may be assigned, if necessary, to meet business needs.</p><br /><p>We offer competitive compensation and a dynamic, productive work environment. &nbsp;Benefits include employer-paid medical, dental, vision, and life insurance options; gym/wellness reimbursement; 401(k) matching; 501(c)(3) donation matching; paid holidays; generous paid time off; training reimbursement; and an Employee Assistance Program.&nbsp;</p><br /><p>Harmonia is an Equal Opportunity Employer providing equal employment opportunity to all employees and applicants for employment without regard to race, color, religion, national origin, age, gender, gender identity, sexual orientation, disability, or genetics. Harmonia does and will take affirmative action to employ and advance in employment individuals with disabilities and protected veterans.&nbsp;</p><br /><p>Reasonable accommodation will be made to enable an applicant with a disability to successfully apply for and/or perform the essential duties of the job. &nbsp;If you would like to request a reasonable accommodation, please contact HR@harmonia.com. &nbsp;</p>","Fri, 07 Feb 2020 14:53:58 Z",2020-02-07T14:53:58Z,http://stackoverflow.com/jobs/,"Charlottesville, VA",
false,352314,https://stackoverflow.com/jobs/352314/applied-machine-learning-engineer-working-in-japan-medmain-inc?a=1U9CxOhEHmDK&so_medium=Talent&so_source=TalentApi,Medmain Inc.,python,api,machine-learning,amazon-web-services,backend,"Applied Machine Learning Engineer/Working in Japan at Medmain Inc. (Tokyo, Japan)","<p><strong>Non-Japanese speakers welcomed!</strong></p><br /><p>Applied Machine LearningEngineer is expected to be familiar with current machine learning technologies and APIs,and have experience with the design and implementation of AI applications for production. We are currently building up the development team to prepare for the product launch and recruiting the first core members.<br>The team mainly consists of international group of staff in their 20's and 30's with an open environment.</p><br /><p><strong>Why&nbsp;PidPort?&nbsp;</strong></p><br /><p>Globally, there is a severe shortage of pathologists, doctors who specialize in visually analyzing samples from tissues of a patient under the microscope to diagnose diseases and cancers. The turnaround time to obtain diagnostic results can take weeks, which causes tremendous mental stress to the patients and diseases to worsen. With our AI-driven product, PidPort, pathologists can now obtain a pathologic diagnosis in approximately 30 seconds with a 98% diagnostic accuracy. Pathologists and advisors from all over the world are collaborating to develop our product. Our product demonstration will soon begin at both domestic and international university hospitals. Currently, we are expanding our operation and organization to prepare for the official launch of our product. In the future, we envision PidPort to become a leader in the pathology space for both developed and developing countries.</p><br /><p><strong>Awards</strong></p><br /><p>Live Sharks Tank '17 - First Prize Winner, San Francisco, U.S.A.<br>Latitude59 '18 - Estonia Awards, Estonia<br>NICT Entrepreneurs&rsquo; Challenge '18 - First Prize Winner (MIC Awards), Japan<br>NewsPicks ""MAKEMONEY"" '19 - First Prize Winner, Japan</p><br /><p><strong>Job&nbsp;Description</strong></p><br /><p>The Applied Machine Learning Engineer is responsible for understanding the business problems, identifying/applying right AI or cognitive computing technologies to solve problems, and the formulation and commercial deployment of PidPort. Mainly handling to develop AI application and implement and develop product work flow related to API and linkage of client server. Work on the continuous improvement of the stability of the product and the ease of use from the user's point of view. Work on quality improvement from the engineering standpoint through code review and team work. We are aiming to expand the product globally and planning to implement, develop and architecture the product including localization.</p><br /><p><strong>Technology&nbsp;Used&nbsp;on&nbsp;Site&nbsp;&nbsp;</strong><br>Language:Python<br>Framework:Tensorflow,&nbsp;Keras&nbsp;etc.,<br>Image&nbsp;processing: OpenCV&nbsp;etc.,<br><br>*As&nbsp;for&nbsp;tech&nbsp;stack,&nbsp;this&nbsp;is&nbsp;not&nbsp;a&nbsp;must.&nbsp;We&nbsp;would&nbsp;like&nbsp;to&nbsp;discuss&nbsp;and&nbsp;decide&nbsp;as&nbsp;a&nbsp;team.</p><br /><p><strong>Qualifications</strong></p><br /><p><strong>Required Skills and Experiences</strong><br>Experience in implementing deep learning models with Python, especially for computer vision<br>Deep knowledge and experience about developing and evaluating machine learning models on <br>a large scale<br>Experience in developing web application <br>Experience in operating cloud server such as AWS and GCP<br>Knowledge of computer sciencealgorithms, data structures, networks, etc<br>Ability to communicate in English with team members</p><br /><p><br><strong>Desired Skills and Experiences</strong><br>Automation&nbsp;experience&nbsp;in a development&nbsp;environment&nbsp;using&nbsp;CI/CD&nbsp;tools&nbsp;such&nbsp;as&nbsp;Jenkins<br>Development&nbsp;leadership&nbsp;experience&nbsp;<br>Experience&nbsp;in&nbsp;OSS&nbsp;community&nbsp;activity</p><br /><p><strong>Ideal Candidate Profile</strong><br>Motivated&nbsp;in&nbsp;learning&nbsp;and&nbsp;exploring&nbsp;new&nbsp;technology<br>Have&nbsp;intellectual&nbsp;curiosity&nbsp;and&nbsp;love&nbsp;for&nbsp;challenges<br>Willing&nbsp;to&nbsp;solve&nbsp;world's&nbsp;social&nbsp;issues&nbsp;through&nbsp;IT&nbsp;and&nbsp;medical&nbsp;<br>High&nbsp;degree&nbsp;of&nbsp;ownership&nbsp;and&nbsp;accountability,&nbsp;and&nbsp;an&nbsp;ability&nbsp;to&nbsp;solve&nbsp;and&nbsp;deal&nbsp;with&nbsp;shades&nbsp;of&nbsp;grey&nbsp;<br>Enjoy&nbsp;creating&nbsp;new&nbsp;values&nbsp;as&nbsp;part&nbsp;of&nbsp;a&nbsp;team</p>","Mon, 20 Jan 2020 03:53:01 Z",2020-01-20T03:53:01Z,http://stackoverflow.com/jobs/,"Tokyo, Japan",
false,363701,https://stackoverflow.com/jobs/363701/paid-research-study-for-net-developers-with-user-research-international?a=1XYobTj7g092&so_medium=Talent&so_source=TalentApi,User Research International,.net,c#,machine-learning,ml.net,ml.net-model-builder,Paid Research Study for .NET Developers with Machine Learning Experience at User Research International () (allows remote),"<p>User Research International is a research company based out of Redmond, Washington. Working with some of the biggest companies in the industry, we aim to&nbsp;improve your experience via&nbsp;paid research studies. Whether it be the latest video game or productivity tools, we value your&nbsp;feedback and experience. We are currently conducting a&nbsp;<strong>one time</strong>&nbsp;research study called the&nbsp;.Net Study. We are looking for currently employed<strong>&nbsp;Full-Time Developers</strong>&nbsp;who use .Net Framework. This study is&nbsp;a one time online remote study. We&rsquo;re offering&nbsp;<strong>$200</strong>&nbsp;for participation in this study. Session lengths are&nbsp;1 hour and 30 minutes. These studies provide a platform for our researchers to receive feedback for an existing or upcoming products or software. We have included the survey link for the study below. Taking the survey will help determine if you fit the profile requirements. If you complete the survey,&nbsp;<strong>and you are actually a fit to the study's requirements by the researcher, URI will follow up with you</strong>. I have summarized the study details below. Thank you!</p><br /><p>Study:&nbsp;.Net Study</p><br /><p>Gratuity:&nbsp;<strong>$200</strong></p><br /><p>Session Length: 1 hour and 30 minutes</p><br /><p>Location:&nbsp;Remote Online</p><br /><p>Dates: February. Available dates are located within the survey</p><br /><p>Survey:&nbsp;<a href=""https://uriuxn.ca1.qualtrics.com/jfe/form/SV_cH2SOhn7vgHwKy1?SOURCE=SO"" rel=""nofollow"">.Net Study Qualifying Survey (Invite to follow if selected)</a></p>","Thu, 13 Feb 2020 23:13:27 Z",2020-02-13T23:13:27Z,,,
false,295343,https://stackoverflow.com/jobs/295343/machine-learning-engineer-innate-inc?a=1B31U0gYs28E&so_medium=Talent&so_source=TalentApi,"Innate, Inc.",machine-learning,algorithm,mongodb,sql-server,amazon-web-services,"Machine Learning Engineer at Innate, Inc. (Washington, DC)","<p>We are looking for a Machine Learning (ML) Engineer to help us develop artificial intelligence products. Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we&rsquo;d like to meet you. Your ultimate goal will be to shape and build efficient self-learning applications.</p><br /><p>We are also open to contract work.</p><br /><p><strong>Responsibilities:</strong></p><br /><ul><br /><li>Study and transform data science prototypes</li><br /><li>Design machine learning systems</li><br /><li>Research and implement appropriate ML algorithms and tools</li><br /><li>Develop machine learning applications according to requirements</li><br /><li>Select appropriate datasets and data representation methods</li><br /><li>Run machine learning tests and experiments</li><br /><li>Perform statistical analysis and fine-tuning using test results</li><br /><li>Train and retrain systems when necessary</li><br /><li>Extend existing ML libraries and frameworks</li><br /><li>Keep abreast of developments in the field</li><br /></ul><br /><p><strong>Qualifications:</strong></p><br /><ul><br /><li>Proven experience as a Machine Learning Engineer or similar role</li><br /><li>Understanding of data structures, data modeling and software architecture</li><br /><li>Deep knowledge of math, probability, statistics and algorithms</li><br /><li>Ability to write robust code</li><br /><li>Excellent communication skills</li><br /><li>Ability to work in a team</li><br /><li>Outstanding analytical and problem-solving skills</li><br /><li>BS in Computer Science, Mathematics or similar field; Master&rsquo;s degree is a plus</li><br /></ul>","Fri, 07 Feb 2020 18:52:39 Z",2020-02-07T18:52:39Z,http://stackoverflow.com/jobs/,"Washington, DC",
false,353959,https://stackoverflow.com/jobs/353959/software-engineer-machine-learning-facebook?a=1UHPd4B8t9e0&so_medium=Talent&so_source=TalentApi,Facebook,java,c++,hadoop,,,"Software Engineer, Machine Learning at Facebook (New York, NY)","<p>Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.</p><p>Facebook is seeking Machine Learning Engineers to join our engineering team. The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. payment fraud, click-through rate prediction, click-fraud detection, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. The position will involve taking these skills and applying them to some of the most exciting and massive social data and prediction problems that exist on the web.</p><p><strong>Responsibilities</strong></p><ul><li>Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models</li><li>Suggest, collect and synthesize requirements and create effective feature roadmap</li><li>Code deliverables in tandem with the engineering team</li><li>Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)</li></ul><p><strong>Minimum Qualifications</strong></p><ul><li>MS degree in Computer Science or related quantitative field or Ph.D degree in Computer Science or related quantitative field</li><li>5+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence</li><li>Proven ability to translate insights into business recommendations</li><li>Experience with Hadoop/Hbase/Pig or MapReduce/Sawzall/Bigtable</li><li>Knowledge developing and debugging in C/C++ and Java</li><li>Experience with scripting languages such as Perl, Python, PHP, and shell scripts</li></ul><p><strong>Preferred Qualifications</strong></p><ul><li>Experience with filesystems, server architectures, and distributed systems</li></ul><p>Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.<br /><br />Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.</p>","Wed, 12 Feb 2020 17:05:10 Z",2020-02-12T17:05:10Z,http://stackoverflow.com/jobs/,"New York, NY",
false,312950,https://stackoverflow.com/jobs/312950/machine-learning-programmer-dc-frontiers-pte-ltd?a=1GX877Czymcw&so_medium=Talent&so_source=TalentApi,DC Frontiers Pte Ltd.,python,node.js,typescript,c#,,Machine Learning Programmer at DC Frontiers Pte Ltd. (Singapore),"<p>We are looking for an individual with experience and passionate in MachineLearning. We apply natural language processing and machine learning technology to analyse corporate financial data and unstructured text from public domains.</p><br /><p>Areas of active research include Named Entity Recognition and Resolution, Relationship Recognition and Resolution, Text Classification, Sentiment Analysis, Clustering, Recommender Systems.</p><br /><p>The candidate should be confident in:</p><br /><ul><br /><li>Working alongside with the team to provide analytical insight into research challenges and support to operational issues.</li><br /><li>Performing investigatory analysis of large multivariate datasets, identifying opportunities to apply machine learning techniques to extract meaning and derive value.</li><br /><li>Characterise classifier or algorithm performance against defined project.</li><br /></ul>","Mon, 03 Feb 2020 09:59:20 Z",2020-02-03T09:59:20Z,http://stackoverflow.com/jobs/,Singapore,
false,334659,https://stackoverflow.com/jobs/334659/machine-learning-software-engineer-remote-usa-research-square?a=1Oews9KdEQBG&so_medium=Talent&so_source=TalentApi,Research Square,python,mysql,php,google-cloud-platform,git,"Machine Learning Software Engineer (Remote, USA) at Research Square (Durham, NC) (allows remote)","<p><a href=""https://www.researchsquare.com/"" rel=""nofollow"">Research Square</a>&nbsp;is the leader in ethical author-oriented solutions in the world of academic publishing. We are home to&nbsp;<a href=""https://www.aje.com/"" rel=""nofollow"">American Journal Experts (AJE)</a>, which provides solutions that help researchers communicate their work so they can get back to making discoveries.</p><br /><p>We currently have a challenging opportunity for a bright, hardworking, and self-motivated&nbsp;<strong>Machine Learning Engineer</strong>. We are looking for an early-career individual who exhibits personal humility and who strives to enable the success of their team in our fun and collaborative remote environment. A successful candidate will be excited to learn and stay abreast of new advancements in the field.&nbsp;</p><br /><p>As a&nbsp;<strong>Machine Learning Engineer</strong>&nbsp;at Research Square, your efforts will support our engineering and operations teams across a variety of projects involving the creation of new tools and the support and improvement of existing tools. You will be responsible for all parts of model creation from data wrangling to model testing and validation.</p><br /><br /><p>Requirements for this role include</p><br /><ul><br /><li>Uses appropriate ML techniques and big data to create automation solutions for business-critical problems</li><br /><li>Assesses and advocates for automation solutions based on their cost to implement and probability of success</li><br /><li>Considers scalability, user experience, and biases in data when designing solutions</li><br /><li>Experience with natural language processing or a strong desire to learn</li><br /><li>Collaborates with business stakeholders to understand business objectives and develop models to help achieve them, along with metrics to track their effectiveness.&nbsp;</li><br /><li>Works both strategically and tactically to achieve business outcomes</li><br /><li>High level of comfort with Python, SQL, Git, and using the command line.</li><br /><li>Works with complex structured and unstructured data, to include&nbsp;leading the data acquisition process, data cleaning, exploratory analysis, verification, and designing data pipelines. Validates models to ensure adequate real-world performance.</li><br /><li>Bachelor&rsquo;s degree or equivalent experience</li><br /></ul><br /><p>Our ideal candidate also has experience with the following:&nbsp;</p><br /><ul><br /><li>One to two years experience in practical machine learning</li><br /><li>Optimizing existing or new ML solutions for performance and scale</li><br /><li>Demonstrated experience with deep learning</li><br /><li>Natural Language Processing and/or Computational linguistics</li><br /><li>Amazon Web Services and/or Google Cloud</li><br /></ul>","Tue, 04 Feb 2020 19:05:01 Z",2020-02-04T19:05:01Z,http://stackoverflow.com/jobs/,"Durham, NC",
false,206002,https://stackoverflow.com/jobs/206002/software-engineer-machine-learning-facebook?a=175ncG7YRuMM&so_medium=Talent&so_source=TalentApi,Facebook,java,hadoop,hbase,mapreduce,,"Software Engineer, Machine Learning at Facebook (Boston, MA)","<p>Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.</p><p>Facebook is seeking Machine Learning Engineers to join our engineering team. The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. payment fraud, click-through rate prediction, click-fraud detection, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. The position will involve taking these skills and applying them to some of the most exciting and massive social data and prediction problems that exist on the web.</p><p><strong>Responsibilities</strong></p><ul><li>Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models</li><li>Suggest, collect and synthesize requirements and create effective feature roadmap</li><li>Code deliverables in tandem with the engineering team</li><li>Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)</li></ul><p><strong>Minimum Qualifications</strong></p><ul><li>MS degree in Computer Science or related quantitative field or Ph.D degree in Computer Science or related quantitative field</li><li>5+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence.</li><li>Proven ability to translate insights into business recommendations</li><li>Experience with Hadoop/Hbase/Pig or MapReduce/Sawzall/Bigtable</li><li>Knowledge developing and debugging in C/C++ and Java</li><li>Experience with scripting languages such as Perl, Python, PHP, and shell scripts</li><li>Experience with filesystems, server architectures, and distributed systems</li></ul><p>Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.<br /><br />Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.</p>","Wed, 05 Feb 2020 11:35:27 Z",2020-02-05T11:35:27Z,http://stackoverflow.com/jobs/,"Boston, MA",
false,206001,https://stackoverflow.com/jobs/206001/software-engineer-machine-learning-facebook?a=175lUKBrukcE&so_medium=Talent&so_source=TalentApi,Facebook,java,hadoop,mapreduce,,,"Software Engineer, Machine Learning at Facebook (Bellevue, WA)","<p>Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.</p><p>Facebook is seeking Machine Learning Engineers to join our engineering team. The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. payment fraud, click-through rate prediction, click-fraud detection, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. The position will involve taking these skills and applying them to some of the most exciting and massive social data and prediction problems that exist on the web.</p><p><strong>Responsibilities</strong></p><ul><li>Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models</li><li>Suggest, collect and synthesize requirements and create effective feature roadmap</li><li>Code deliverables in tandem with the engineering team</li><li>Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)</li></ul><p><strong>Minimum Qualifications</strong></p><ul><li>MS degree in Computer Science or related quantitative field or Ph.D degree in Computer Science or related quantitative field</li><li>5+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence</li><li>Proven ability to translate insights into business recommendations</li><li>Experience with Hadoop/Hbase/Pig or Mapreduce/Sawzall/Bigtable</li><li>Knowledge developing and debugging in C/C++ and Java</li><li>Experience with scripting languages such as Perl, Python, PHP, and shell scripts</li></ul><p><strong>Preferred Qualifications</strong></p><ul><li>Experience with filesystems, server architectures, and distributed systems</li></ul><p>Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.<br /><br />Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.</p>","Wed, 05 Feb 2020 11:35:27 Z",2020-02-05T11:35:27Z,http://stackoverflow.com/jobs/,"Bellevue, WA",
false,357175,https://stackoverflow.com/jobs/357175/machine-learning-lead-goodnotes?a=1VMH8Wogm5gY&so_medium=Talent&so_source=TalentApi,GoodNotes,pytorch,tensorflow,coreml,scikit-learn,numpy,"Machine Learning Lead at GoodNotes (Kowloon, Hong Kong)","GoodNotes was created from our founder's frustration of taking readable and reusable notes on his first iPad. We have since grown to millions of&nbsp;<a href=""https://workable.com/nr?l=https%3A%2F%2Fwww.instagram.com%2Fgoodnotesapp%2F"" rel=""nofollow"">happy users</a>&nbsp;and have been featured on Apple's marketing materials. Our engineering team members are all full stack, Pi-shaped, and most importantly product minded.<br /><br />Our Core Values:<br />* Users come first<br />* Build better product, not just different<br />* Do less but get more done<br />* Always be learning<br /><br />We are looking for a senior software engineer to work with our research team to create a magical note-taking experience for our users. You love making things fast algorithmically and by utilising the latest vector instructions. Short term challenges include implementing handwriting recognition papers.<br /><br /><br /><ul><br /><li>Strong hardware and software architecture fundamental</li><br /><li>Solid mathematical foundation of deep learning techniques</li><br /><li>Excellent programming and debugging skills on scalar and vector processors</li><br /><li>Love for writing efficient and maintainable code</li><br /><li>Proven track record of researching, inventing and shipping complex machine learning algorithms, big plus for computational geometry and machine learning algorithms&nbsp;</li><br /><li>Led product development from inception to million of users</li><br /><li>Ability to design and execute on research agenda&nbsp;</li><br /><li>Good&nbsp;<a href=""https://workable.com/nr?l=http%3A%2F%2Fwww.paulgraham.com%2Ftaste.html"" rel=""nofollow"">taste</a>&nbsp;as a maker</li><br /></ul><br /><p><strong>Less experienced candidate will be considered as Senior Machine Learning Engineer.&nbsp;</strong></p>","Wed, 29 Jan 2020 08:11:50 Z",2020-01-29T08:11:50Z,http://stackoverflow.com/jobs/,"Kowloon, Hong Kong",
