guid/_isPermaLink,guid/__text,link,author/name/__text,category/0,category/1,category/2,category/3,category/4,title,description,pubDate,updated/__text,location/_xmlns,location/__text,category/5
false,295343,https://stackoverflow.com/jobs/295343/machine-learning-engineer-innate-inc?a=1B31U0gYs28E&so_medium=Talent&so_source=TalentApi,"Innate, Inc.",machine-learning,algorithm,mongodb,sql-server,amazon-web-services,"Machine Learning Engineer at Innate, Inc. (Washington, DC)","<p>We are looking for a Machine Learning (ML) Engineer to help us develop artificial intelligence products. Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we&rsquo;d like to meet you. Your ultimate goal will be to shape and build efficient self-learning applications.</p><br /><p>We are also open to contract work.</p><br /><p><strong>Responsibilities:</strong></p><br /><ul><br /><li>Study and transform data science prototypes</li><br /><li>Design machine learning systems</li><br /><li>Research and implement appropriate ML algorithms and tools</li><br /><li>Develop machine learning applications according to requirements</li><br /><li>Select appropriate datasets and data representation methods</li><br /><li>Run machine learning tests and experiments</li><br /><li>Perform statistical analysis and fine-tuning using test results</li><br /><li>Train and retrain systems when necessary</li><br /><li>Extend existing ML libraries and frameworks</li><br /><li>Keep abreast of developments in the field</li><br /></ul><br /><p><strong>Qualifications:</strong></p><br /><ul><br /><li>Proven experience as a Machine Learning Engineer or similar role</li><br /><li>Understanding of data structures, data modeling and software architecture</li><br /><li>Deep knowledge of math, probability, statistics and algorithms</li><br /><li>Ability to write robust code</li><br /><li>Excellent communication skills</li><br /><li>Ability to work in a team</li><br /><li>Outstanding analytical and problem-solving skills</li><br /><li>BS in Computer Science, Mathematics or similar field; Master&rsquo;s degree is a plus</li><br /></ul>","Fri, 07 Feb 2020 18:52:39 Z",2020-02-07T18:52:39Z,http://stackoverflow.com/jobs/,"Washington, DC",
false,353959,https://stackoverflow.com/jobs/353959/software-engineer-machine-learning-facebook?a=1UHPd4B8t9e0&so_medium=Talent&so_source=TalentApi,Facebook,java,c++,hadoop,,,"Software Engineer, Machine Learning at Facebook (New York, NY)","<p>Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.</p><p>Facebook is seeking Machine Learning Engineers to join our engineering team. The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. payment fraud, click-through rate prediction, click-fraud detection, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. The position will involve taking these skills and applying them to some of the most exciting and massive social data and prediction problems that exist on the web.</p><p><strong>Responsibilities</strong></p><ul><li>Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models</li><li>Suggest, collect and synthesize requirements and create effective feature roadmap</li><li>Code deliverables in tandem with the engineering team</li><li>Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)</li></ul><p><strong>Minimum Qualifications</strong></p><ul><li>MS degree in Computer Science or related quantitative field or Ph.D degree in Computer Science or related quantitative field</li><li>5+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence</li><li>Proven ability to translate insights into business recommendations</li><li>Experience with Hadoop/Hbase/Pig or MapReduce/Sawzall/Bigtable</li><li>Knowledge developing and debugging in C/C++ and Java</li><li>Experience with scripting languages such as Perl, Python, PHP, and shell scripts</li></ul><p><strong>Preferred Qualifications</strong></p><ul><li>Experience with filesystems, server architectures, and distributed systems</li></ul><p>Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.<br /><br />Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.</p>","Wed, 12 Feb 2020 17:05:10 Z",2020-02-12T17:05:10Z,http://stackoverflow.com/jobs/,"New York, NY",
false,206002,https://stackoverflow.com/jobs/206002/software-engineer-machine-learning-facebook?a=175ncG7YRuMM&so_medium=Talent&so_source=TalentApi,Facebook,java,hadoop,hbase,mapreduce,,"Software Engineer, Machine Learning at Facebook (Boston, MA)","<p>Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.</p><p>Facebook is seeking Machine Learning Engineers to join our engineering team. The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. payment fraud, click-through rate prediction, click-fraud detection, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. The position will involve taking these skills and applying them to some of the most exciting and massive social data and prediction problems that exist on the web.</p><p><strong>Responsibilities</strong></p><ul><li>Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models</li><li>Suggest, collect and synthesize requirements and create effective feature roadmap</li><li>Code deliverables in tandem with the engineering team</li><li>Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)</li></ul><p><strong>Minimum Qualifications</strong></p><ul><li>MS degree in Computer Science or related quantitative field or Ph.D degree in Computer Science or related quantitative field</li><li>5+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence.</li><li>Proven ability to translate insights into business recommendations</li><li>Experience with Hadoop/Hbase/Pig or MapReduce/Sawzall/Bigtable</li><li>Knowledge developing and debugging in C/C++ and Java</li><li>Experience with scripting languages such as Perl, Python, PHP, and shell scripts</li><li>Experience with filesystems, server architectures, and distributed systems</li></ul><p>Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.<br /><br />Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.</p>","Wed, 05 Feb 2020 11:35:27 Z",2020-02-05T11:35:27Z,http://stackoverflow.com/jobs/,"Boston, MA",
false,206001,https://stackoverflow.com/jobs/206001/software-engineer-machine-learning-facebook?a=175lUKBrukcE&so_medium=Talent&so_source=TalentApi,Facebook,java,hadoop,mapreduce,,,"Software Engineer, Machine Learning at Facebook (Bellevue, WA)","<p>Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.</p><p>Facebook is seeking Machine Learning Engineers to join our engineering team. The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. payment fraud, click-through rate prediction, click-fraud detection, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. The position will involve taking these skills and applying them to some of the most exciting and massive social data and prediction problems that exist on the web.</p><p><strong>Responsibilities</strong></p><ul><li>Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models</li><li>Suggest, collect and synthesize requirements and create effective feature roadmap</li><li>Code deliverables in tandem with the engineering team</li><li>Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)</li></ul><p><strong>Minimum Qualifications</strong></p><ul><li>MS degree in Computer Science or related quantitative field or Ph.D degree in Computer Science or related quantitative field</li><li>5+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence</li><li>Proven ability to translate insights into business recommendations</li><li>Experience with Hadoop/Hbase/Pig or Mapreduce/Sawzall/Bigtable</li><li>Knowledge developing and debugging in C/C++ and Java</li><li>Experience with scripting languages such as Perl, Python, PHP, and shell scripts</li></ul><p><strong>Preferred Qualifications</strong></p><ul><li>Experience with filesystems, server architectures, and distributed systems</li></ul><p>Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.<br /><br />Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.</p>","Wed, 05 Feb 2020 11:35:27 Z",2020-02-05T11:35:27Z,http://stackoverflow.com/jobs/,"Bellevue, WA",
false,334659,https://stackoverflow.com/jobs/334659/machine-learning-software-engineer-remote-usa-research-square?a=1Oews9KdEQBG&so_medium=Talent&so_source=TalentApi,Research Square,python,mysql,php,google-cloud-platform,git,"Machine Learning Software Engineer (Remote, USA) at Research Square (Durham, NC) (allows remote)","<p><a href=""https://www.researchsquare.com/"" rel=""nofollow"">Research Square</a>&nbsp;is the leader in ethical author-oriented solutions in the world of academic publishing. We are home to&nbsp;<a href=""https://www.aje.com/"" rel=""nofollow"">American Journal Experts (AJE)</a>, which provides solutions that help researchers communicate their work so they can get back to making discoveries.</p><br /><p>We currently have a challenging opportunity for a bright, hardworking, and self-motivated&nbsp;<strong>Machine Learning Engineer</strong>. We are looking for an early-career individual who exhibits personal humility and who strives to enable the success of their team in our fun and collaborative remote environment. A successful candidate will be excited to learn and stay abreast of new advancements in the field.&nbsp;</p><br /><p>As a&nbsp;<strong>Machine Learning Engineer</strong>&nbsp;at Research Square, your efforts will support our engineering and operations teams across a variety of projects involving the creation of new tools and the support and improvement of existing tools. You will be responsible for all parts of model creation from data wrangling to model testing and validation.</p><br /><br /><p>Requirements for this role include</p><br /><ul><br /><li>Uses appropriate ML techniques and big data to create automation solutions for business-critical problems</li><br /><li>Assesses and advocates for automation solutions based on their cost to implement and probability of success</li><br /><li>Considers scalability, user experience, and biases in data when designing solutions</li><br /><li>Experience with natural language processing or a strong desire to learn</li><br /><li>Collaborates with business stakeholders to understand business objectives and develop models to help achieve them, along with metrics to track their effectiveness.&nbsp;</li><br /><li>Works both strategically and tactically to achieve business outcomes</li><br /><li>High level of comfort with Python, SQL, Git, and using the command line.</li><br /><li>Works with complex structured and unstructured data, to include&nbsp;leading the data acquisition process, data cleaning, exploratory analysis, verification, and designing data pipelines. Validates models to ensure adequate real-world performance.</li><br /><li>Bachelor&rsquo;s degree or equivalent experience</li><br /></ul><br /><p>Our ideal candidate also has experience with the following:&nbsp;</p><br /><ul><br /><li>One to two years experience in practical machine learning</li><br /><li>Optimizing existing or new ML solutions for performance and scale</li><br /><li>Demonstrated experience with deep learning</li><br /><li>Natural Language Processing and/or Computational linguistics</li><br /><li>Amazon Web Services and/or Google Cloud</li><br /></ul>","Tue, 04 Feb 2020 19:05:01 Z",2020-02-04T19:05:01Z,http://stackoverflow.com/jobs/,"Durham, NC",
false,332831,https://stackoverflow.com/jobs/332831/senior-software-engineer-machine-learning-rebellion-defense?a=1NCvS6oeuPnO&so_medium=Talent&so_source=TalentApi,Rebellion Defense,python,go,docker,ruby,amazon-web-services,"Senior Software Engineer, Machine Learning at Rebellion Defense (Washington, DC)","As a Senior Software Engineer on the Rebellion Machine Learning team you will design, train, and deploy improved models that are used to inform Department of Defense missions and ensure the safety of both civilians and service members.<br /><br />The Rebellion Machine Learning team is a small team of multi-disciplinary software engineers responsible for improving models used to detect signal in the vast amounts of noisy data that the Department of Defense encounters. Machine learning tasks include entity detection, labeling, identification, linking, deduping, and monitoring.<br /><br /><br /><br /><p><strong>We're looking for engineers who...</strong></p><br /><ul><br /><ul><br /><li>have an advanced degree in a quantitative field (e.g. math, stats, physics, or computer science).</li><br /><li>have demonstrated two or more years of industry experience using Tensorflow, PyTorch, and/or Keras to design and train machine learning models,</li><br /><li>are self-directed, detail-oriented, and enjoy figuring out the most important problem to work on,</li><br /><li>own problems end-to-end, and are willing to pick up whatever knowledge you're missing to get the job done,</li><br /><li>know your way around a Unix shell, and</li><br /><li>like to get the system working but know when it is right to take on technical debt.</li><br /><li>Experience working with multiple types of data representations such as matrices, multi-graphs, and manifolds.</li><br /></ul><br /></ul><br /><br /><br /><br /><br /><p><strong>You may be a good fit if you&hellip;</strong></p><br /><ul><br /><ul><br /><li>enjoy designing, training, and deploying improved models used to protect billions of lives,</li><br /><li>think of creative, new methods to extract signal from noise while working against constantly evolving adversaries,</li><br /><li>are able to develop and incorporate into our models new feature ideas and real-time data processors,</li><br /><li>can improve the way we evaluate and monitor our model and system performance,</li><br /><li>are comfortable working on under-specified problems and are capable of rapidly learning and iterating on solutions,</li><br /><li>are willing to debug problems across the stack, such as networking issues, performance problems, or memory leaks, and</li><br /><li>have built the wrong system enough times to avoid the common pitfalls, whether building something personally or advising others</li><br /></ul><br /></ul><br /><br /><br /><br />About Rebellion<br />Rebellion is a well capitalized technology start-up seeking extremely talented software engineers who are passionate about delivering modern, life-changing products to the Department of Defense. Expect talented, motivated, intense, and interesting co-workers. Compensation includes meaningful equity ownership, competitive salaries, full medical coverage, disability and life insurance, and transit reimbursement.<br /><br />At Rebellion we believe in operating what we own, we deliver all of our products as managed services, this allows our product teams to maintain operational ownership across both unclassified and classified networks.","Fri, 31 Jan 2020 20:15:56 Z",2020-01-31T20:15:56Z,http://stackoverflow.com/jobs/,"Washington, DC",
false,331855,https://stackoverflow.com/jobs/331855/data-engineer-algorithmic-trading-machine-7-chord-inc?a=1NidEyaRKeDS&so_medium=Talent&so_source=TalentApi,7 Chord inc.,spark-streaming,apache-kafka,cassandra,mongodb,kdb,"Data Engineer  Algorithmic Trading  Machine Learning at 7 Chord inc. (Brooklyn, NY)","This is an exceptional opportunity for a high caliber recent graduate or junior level engineer to join a successful revenue-generating trading technology firm with a ground-breaking AI product. You will work with some of the brightest minds in data science to find innovative solutions for storing, accessing, combining and synthesizing real-time data.<br><br><strong>What You'll Do:</strong><br><br /><ul><br /><li>Design modern streaming data architecture: message ingestion, storage management, normalization and noise filtering.</li><br /><li>Serve as the data wrangler and ETL expert for the company.</li><br /><li>Own relationships with the market data vendors. Design and implement market data feed handlers, storing and warehousing solutions.</li><br /><li>Work with data scientists to facilitate technical design of complex data sourcing, transformation and aggregation logic across data types.</li><br /></ul><br /><strong>Qualifications:</strong><br><br /><ul><br /><li>2+ years of professional experience in an enterprise-level environment.</li><br /><li>MSc in Computer Science preferred.</li><br /><li>Excellent knowledge of data warehousing, data modeling and data transformation.</li><br /><li>Experience with handling large volumes of real-time / streaming data.</li><br /><li>Exceptional Java, Python, Anaconda Stack, SQL skills. KDB/q a big plus.</li><br /><li>Familiarity with messaging technologies (RabbitMQ, Kafka or Kinesis).</li><br /><li>Experience with data lakes.</li><br /><li>Understanding of FIX is preferred.</li><br /><li>Knowledge of CI/CD pipelines and DevOps culture.</li><br /></ul><br /><br><strong>Comp, Benefits, Perks:</strong><br><br /><ul><br /><li>Competitive salary. Equity. Enormous growth potential.</li><br /><li>Subsidized health insurance, transportation benefit and 401K.</li><br /><li>Continuing education stipend.</li><br /><li>Free state-of-the-art gym and wellness center on premises. Access to the open private waterfront space, half-court basketball court, outdoor terraces, training and conference facilities, cafeteria and lounge.</li><br /></ul><br />Office is located in the Brooklyn Navy Yard&rsquo;s brand-new green Dock 72 building with the stunning views of downtown Manhattan. Brooklyn Navy Yard, a 200-year-old industrial park and the fastest growing NYC tech hub, is home to 350+ companies employing over 10,000 people, expected to grow to 30,000 in 2020. 10-minute ferry ride from Wall Street or 34th street. 7 min shuttle from Dumbo&rsquo;s Jay Street or Barclays Center Atlantic Terminal subway stations.<br><br>Please send your resume, including your linkedin and/or github profiles to: careers@7-chord.com","Tue, 28 Jan 2020 21:23:14 Z",2020-01-28T21:23:14Z,http://stackoverflow.com/jobs/,"Brooklyn, NY",
false,288135,https://stackoverflow.com/jobs/288135/software-engineer-machine-learning-signal-applied-research-in-acoustics?a=1yD9Ehr0FHQA&so_medium=Talent&so_source=TalentApi,Applied Research in Acoustics LLC,machine-learning,c++,python,signal-processing,simulation,"Software Engineer: Machine Learning / Signal Processing at Applied Research in Acoustics LLC (Madison, VA)","<p><u>Title</u>:&nbsp;&nbsp;<strong>Software Engineer: Machine Learning / Signal Processing</strong></p><br /><p><u>Location</u>: Central VA / Charlottesville, VA region office</p><br /><p>ARiA applies broad interdisciplinary expertise in acoustics, modeling &amp; simulation, signal processing, and cognitive science toward innovative science and engineering research and development for a diverse set of government and corporate clients that focuses on modeling &amp; simulation for training and model-based signal-processing and artificial intelligence for detection and classification. Partnering with government, industry, and academia, ARiA solves critical challenges.</p><br /><p>To enable effective and efficient transition of applied research to advanced development of products and systems, ARiA is structured to bring together top-quality research scientists with development and software engineers in an environment in which research and development mutually benefit from joint leveraging of in-house expertise.</p><br /><p><em>ARiA is a small business where you can make a big difference</em>. Our employees, including those at entry-level, are working together with the CIO of the Air Force to use cognitive computing to change the way the government acquires technology and working with top Navy leaders to use video games and simulation to change the way sailors are trained to use sonar.</p><br /><p><strong>ARiA: Real Research. Real World.<sup>TM</sup></strong></p><br /><p>For more information, visit&nbsp;<a href=""http://www.ariacoustics.com/"" rel=""nofollow"">www.ariacoustics.com</a>.</p><br /><p>ARiA is an Equal Opportunity Employer.</p><br /><p><u>Position Description</u>:</p><br /><p>Software engineer to perform a variety of tasks including development and implementation of machine-learning algorithms and software, and design, development, and testing of machine-classification and cognitive systems, working in close coordination with ARiA scientists and engineers</p><br /><p><em>Responsible for</em>:</p><br /><p>Algorithm and software design, development, research, and testing to support prototypes and products</p><br /><p>Supporting the transition of research algorithms to fielded prototypes</p><br /><p>Preparing documentation to summarize design and status of prototypes and products</p><br /><p>Assisting with in-field integration, testing, and support, with some local travel required</p><br /><p><em>Sample tasks</em>:</p><br /><p>Development of classification methods and algorithms for sonar-signal processing</p><br /><p>Using deep learning to understand the relevant physical features in acoustic scattering data for use in a project on remediating underwater sites contaminated by unexploded ordnance</p><br /><p>Developing an information-retrieval tool that allows natural-language query of legal documents to answer user questions about government regulations</p><br /><p><u>Requirements</u>:</p><br /><p>Bachelor&rsquo;s degree in Computer Science, Engineering, or equivalent</p><br /><p>Knowledge of and experience with developing machine-learning applications/software (supervised and unsupervised learning, deep learning, kernel machines, latent semantic analysis, etc.)</p><br /><p>Facility designing and developing code in standard languages (e.g., C, C++, Java, and Python)</p><br /><p>Completion of at least one sizable software or systems engineering project, such as creating a machine-learning application or contributing to an open-source project</p><br /><p>Exceptional ability and desire to acquire new knowledge and skills to solve challenges</p><br /><p>Ability to work independently but collaboratively</p><br /><p>Ability to manage multiple projects in a fast-paced professional office environment</p><br /><p>Ability to communicate technical solutions to project management and the development team</p><br /><p>Good oral and written communications skills</p><br /><p><strong>Applicants selected for employment will be subject to a government security investigation and must meet eligibility requirements, including U.S. citizenship, for access to sensitive information.</strong></p><br /><p><u>Desirable Skills, Qualifications, and Experience</u>:</p><br /><p>Knowledge of and experience with GPGPU programing (CUDA, TensorFlow)</p><br /><p>Knowledge of and experience with deep learning and modern deep-learning frameworks (TensorFlow PyTorch)</p><br /><p>Knowledge of and experience with image processing including modern deep-learning methods</p><br /><p>Knowledge of and experience with natural-language-processing and/or information retrieval</p><br /><p>Experience with scientific computing (e.g., numerical integration, special functions)</p><br /><p>Knowledge of and prior practical work in signal processing (e.g., linear-system theory, digital signal processing)</p><br /><p>Exposure to signal processing applications in radar or sonar such as: beamforming, matched filtering, and spectral estimation</p><br /><p>Knowledge of and facility with concepts from college-level physics (e.g., acoustics, wave propagation)</p><br /><p>Knowledge of and facility with concepts from college-level mathematics (e.g., partial differential equations and linear algebra)</p><br /><p><strong>To apply submit resume/CV and cover letter with salary requirements</strong></p>","Wed, 05 Feb 2020 15:47:50 Z",2020-02-05T15:47:50Z,http://stackoverflow.com/jobs/,"Madison, VA",
false,362082,https://stackoverflow.com/jobs/362082/senior-machine-learning-engineer-carbon-relay?a=1XqJ2KDDcEI8&so_medium=Talent&so_source=TalentApi,Carbon Relay,machine-learning,python,pytorch,mathematical-optimization,kubernetes,"Senior Machine Learning Engineer at Carbon Relay (Washington, DC)","<p>Carbon Relay is a world-class team focused on harnessing the power of machine learning to optimize Kubernetes. Our innovative platform allows organizations to boost application performance while keeping costs down. We recently completed a <a href=""https://www.carbonrelay.com/news/carbon-relay-raises-63-million/"" rel=""nofollow"">major fundraising round</a> and are scaling up rapidly to turn our vision into reality. This position is perfect for someone who wants to get in on the ground floor at a startup that moves fast, tackles hard problems, and has fun!</p><br /><p>We are looking for a Senior Machine Learning Engineer to build the next generation of Kubernetes optimization products. You will develop our algorithms, deploy the subsequent models, and work with the Kubernetes team to bring products from R&amp;D into production.</p><br /><p><strong>Responsibilities</strong></p><br /><ul><br /><li>Enhance the speed and accuracy of the currently deployed ML algorithms</li><br /><li>Work with engineering team to deploy models to production</li><br /><li>Work alongside our Kubernetes team to create new products</li><br /></ul><br /><p><strong>Required qualifications</strong></p><br /><ul><br /><li>Strong software engineering background</li><br /><li>3+ years experience deploying ML models</li><br /><li>Proficient in Python</li><br /><li>Experience shipping and maintaining software products</li><br /></ul><br /><p><strong>Preferred qualifications</strong></p><br /><ul><br /><li>Experience with Flask or PyTorch</li><br /><li>Experience with Go</li><br /><li>Familiarity with Kubernetes</li><br /></ul><br /><p><strong>Why join Carbon Relay</strong></p><br /><ul><br /><li>Competitive salary plus equity</li><br /><li>Health, dental, vision and life insurance</li><br /><li>Unlimited vacation policy (and we do really take vacations)</li><br /><li>Ability to work remotely</li><br /><li>Snacks, lunches and all the typical benefits you would expect from a well-funded, fun startup!</li><br /></ul><br /><p><strong>Location</strong></p><br /><p>This position is based in Washington D.C. Exceptional candidates will be considered for a remote position.</p>","Mon, 10 Feb 2020 14:05:31 Z",2020-02-10T14:05:31Z,http://stackoverflow.com/jobs/,"Washington, DC",
false,353943,https://stackoverflow.com/jobs/353943/data-engineer-machine-learning-facebook?a=1UHuAecwupTW&so_medium=Talent&so_source=TalentApi,Facebook,oracle,etl,machine-learning,,,"Data Engineer, Machine Learning at Facebook (Fremont, CA)","<p>Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.</p><p>At Facebook, we have many opportunities to work with data each and every day. In this role as a Data Engineer, Machine Learning on the data science team, your primary responsibility will be to partner with key stakeholders, data scientists, engineers and software developers to support and enable the continued growth critical to Facebooks Data Center organization. You will be responsible for creating the technology that moves and translates data used to inform our most critical strategic and real-time decisions. You will also help translate business needs into requirements and identify efficiency opportunities. In addition to extracting and transforming data you will deploy end-to-end machine learning pipelines including ingestion, feature engineering, model selection and tuning, analytics visualizations, and productionize trained ML models. The ideal candidate will have a passion for working in white space and creating impact from the ground up in a fast-paced environment. </p><p><strong>Responsibilities</strong></p><ul><li>Apply proven expertise and build high-performance scalable data warehouses</li><li>Design, build and launch efficient &amp; reliable data pipelines to move and transform data (both large and small amounts)</li><li>Build data pipelines to train and productionalize Machine Learning models</li><li>Partner with data scientists &amp; software developers to build machine learning &amp; optimizations solutions</li><li>Securely source external data from numerous partners</li><li>Intelligently design data models for optimal storage and retrieval</li><li>Deploy inclusive data quality checks to ensure high quality of data</li><li>Optimize existing pipelines and maintain of all domain-related data pipelines</li><li>Ownership of the end-to-end data engineering component of the solution</li><li>Collaboration with the Data Center SMEs, Data Scientists, and Program Managers</li><li>Support on-call shift as needed to support the team</li><li>Design and develop new systems in partnership with software engineers to enable quick and easy consumption of data</li></ul><p><strong>Minimum Qualifications</strong></p><ul><li>BS/MS in Computer Science Quantitative Finance, Math, Physics or a related Engineering degree</li><li>7+ years of SQL (Oracle, Vertica, Hive, etc.) experience and relational databases experience (Oracle, MySQL)</li><li>7+ years of experience in custom or structured (i.e. Informatica/Talend/Pentaho) ETL design, implementation and maintenance</li><li>7+ years experience in data engineering, experience in applying DWH/ETL best practices</li><li>7+ years of Java and/or Python development experience</li><li>Proven knowledge of Machine Learning development &amp; implementation concepts &amp; considerations</li><li>2+ years experience in LAMP and the Big Data stack environments (Hadoop, MapReduce, Hive)</li><li>2+ years experience working with enterprise DE tools and experience learning in-house DE tools</li></ul><p><strong>Preferred Qualifications</strong></p><ul><li>3+ years experience in building models and developing algorithms for machine learning, statistics, mathematical programming, and/or simulation in industry and/or academia</li><li>Technical knowledge of data center operations</li></ul><p>Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.<br /><br />Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.</p>","Thu, 13 Feb 2020 20:40:27 Z",2020-02-13T20:40:27Z,http://stackoverflow.com/jobs/,"Fremont, CA",
